,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_tenure_ratio
0,1,1,0,3,29.85,29.85,1,29.85
1,34,0,1,1,56.95,1889.5,1,55.5735294117647
2,2,0,0,1,53.85,108.15,0,54.075
3,45,1,1,4,42.3,1840.75,1,40.90555555555556
4,2,0,0,3,70.7,151.65,0,75.825
5,8,0,0,3,99.65,820.5,0,102.5625
6,22,0,0,2,89.1,1949.4,1,88.60909090909091
7,10,1,0,1,29.75,301.9,1,30.19
8,28,0,0,3,104.8,3046.05,0,108.7875
9,62,0,1,4,56.15,3487.95,1,56.25725806451613
10,13,0,0,1,49.95,587.45,1,45.18846153846154
11,16,0,2,2,18.95,326.8,1,20.425
12,58,0,1,2,100.35,5681.1,1,97.95
13,49,0,0,4,103.7,5036.3,0,102.78163265306122
14,25,0,0,3,105.5,2686.05,1,107.442
15,69,0,2,2,113.25,7895.15,1,114.42246376811592
16,52,0,1,1,20.65,1022.95,1,19.672115384615385
17,71,0,2,4,106.7,7382.25,1,103.97535211267606
18,10,0,0,2,55.2,528.35,0,52.835
19,21,0,0,3,90.05,1862.9,1,88.70952380952382
20,1,1,0,3,39.65,39.65,0,39.65
21,12,0,1,4,19.8,202.25,1,16.854166666666668
22,1,0,0,1,20.15,20.15,0,20.15
23,58,0,2,2,59.9,3505.1,1,60.43275862068965
24,49,0,0,2,59.6,2970.3,1,60.61836734693878
25,30,0,0,4,55.3,1530.6,1,51.02
26,47,0,0,3,99.35,4749.15,0,101.04574468085106
27,1,1,0,3,30.2,30.2,0,30.2
28,72,0,2,2,90.25,6369.45,1,88.46458333333334
29,17,0,0,1,64.7,1093.1,0,64.3
30,71,0,2,2,96.35,6766.95,1,95.30915492957746
31,2,0,0,2,95.5,181.65,1,90.825
32,27,0,1,1,66.15,1874.45,1,69.42407407407407
33,1,0,0,4,20.2,20.2,1,20.2
34,1,0,0,4,45.25,45.25,1,45.25
35,72,0,2,4,99.9,7251.7,1,100.71805555555557
36,5,0,0,3,69.7,316.9,0,63.38
37,46,0,0,2,74.8,3548.3,1,77.13695652173914
